SM_V10_1	15517	24275	2	2	0	0	4	31
SM_V10_1	15517	32036	2	2	0	0	4	31
SM_V10_1	40244	41124	2	2	0	7	0	60
SM_V10_1	53353	53398	2	2	0	0	1	68
SM_V10_1	83871	86019	2	2	1	0	396	68
SM_V10_1	83871	123080	2	2	1	0	225	68
SM_V10_1	83977	86019	2	2	0	0	6	65
SM_V10_1	83977	123080	2	2	0	0	6	65
SM_V10_1	86245	86975	2	2	1	17	172	70
SM_V10_1	87260	131558	2	2	0	0	3	65
SM_V10_1	93195	93235	1	1	0	0	2	69
SM_V10_1	93195	216293	1	1	0	0	4	69
SM_V10_1	93205	93238	1	1	0	0	1	67
SM_V10_1	99345	99377	2	2	0	0	2	67
SM_V10_1	99545	99586	2	2	0	0	1	63
SM_V10_1	104136	104177	1	1	0	0	1	63
SM_V10_1	104136	117213	1	1	0	0	1	63
SM_V10_1	104345	104377	1	1	0	0	5	26
SM_V10_1	104345	113764	1	1	0	0	1	21
SM_V10_1	104345	117413	1	1	0	0	16	67
SM_V10_1	104345	127447	1	1	0	0	1	26
SM_V10_1	108276	108569	2	2	0	3	0	45
SM_V10_1	109978	110023	2	2	0	0	1	21
SM_V10_1	117173	117213	1	1	0	0	1	63
SM_V10_1	117381	117413	1	1	0	0	16	67
SM_V10_1	117381	127447	1	1	0	0	1	26
SM_V10_1	120950	123080	2	2	1	0	417	68
SM_V10_1	121056	123080	2	2	0	0	6	65
SM_V10_1	121909	125494	2	2	0	0	1	55
SM_V10_1	123306	125494	2	2	1	16	172	70
SM_V10_1	125779	131174	2	2	1	2	96	66
SM_V10_1	125779	131558	2	2	0	0	3	65
SM_V10_1	127513	129083	1	1	0	0	1	53
SM_V10_1	131247	131280	2	2	0	0	1	67
SM_V10_1	131250	131290	2	2	0	0	4	69
SM_V10_1	131250	241457	2	2	0	0	4	69
SM_V10_1	166204	167385	1	1	0	0	1	32
SM_V10_1	179239	179808	2	2	0	0	1	55
SM_V10_1	188835	400148	2	2	0	6	0	70
SM_V10_1	195849	197030	2	2	0	0	1	32
SM_V10_1	215983	221765	1	1	0	0	3	65
SM_V10_1	215983	247291	1	1	0	0	3	65
SM_V10_1	216253	216293	1	1	0	0	4	69
SM_V10_1	216263	216296	1	1	0	0	1	67
SM_V10_1	216369	221765	1	1	1	1	95	66
SM_V10_1	216369	247291	1	1	1	0	91	66
SM_V10_1	218460	220030	2	2	0	0	1	53
SM_V10_1	220096	230171	2	2	0	0	1	26
SM_V10_1	222050	224240	1	1	1	0	171	70
SM_V10_1	222050	225637	1	1	0	0	1	55
SM_V10_1	222050	248305	1	1	1	0	32	70
SM_V10_1	224466	226491	1	1	0	0	6	65
SM_V10_1	224466	226597	1	1	1	0	417	68
SM_V10_1	224466	250565	1	1	0	0	6	65
SM_V10_1	226107	250178	1	1	0	3	0	37
SM_V10_1	230139	230171	2	2	0	1	11	57
SM_V10_1	235136	235168	1	1	0	0	1	28
SM_V10_1	240307	240352	2	2	0	1	1	63
SM_V10_1	241414	241447	2	2	0	0	1	67
SM_V10_1	241417	241457	2	2	0	0	2	69
SM_V10_1	245676	247291	1	1	0	0	1	29
SM_V10_1	247576	248305	1	1	1	0	84	70
SM_V10_1	248531	250565	1	1	0	0	6	65
SM_V10_1	248531	250671	1	1	1	0	396	68
SM_V10_1	329268	334896	2	2	0	0	1	53
SM_V10_1	334863	334896	2	2	0	0	1	53
