SM_V10_1	15517	24275	-
SM_V10_1	15517	32036	-
SM_V10_1	40244	41124	-
SM_V10_1	53353	53398	-
SM_V10_1	83871	86019	-
SM_V10_1	83871	123080	-
SM_V10_1	83977	86019	-
SM_V10_1	83977	123080	-
SM_V10_1	86245	86975	-
SM_V10_1	87260	120681	-
SM_V10_1	87260	131558	-
SM_V10_1	93195	93235	+
SM_V10_1	93195	216293	+
SM_V10_1	93205	93238	+
SM_V10_1	99345	99377	-
SM_V10_1	99545	99586	-
SM_V10_1	104136	104177	+
SM_V10_1	104136	117213	+
SM_V10_1	104345	104377	+
SM_V10_1	104345	113764	+
SM_V10_1	104345	117413	+
SM_V10_1	104345	127447	+
SM_V10_1	108276	108569	-
SM_V10_1	109978	110023	-
SM_V10_1	117173	117213	+
SM_V10_1	117381	117413	+
SM_V10_1	117381	127447	+
SM_V10_1	120950	123080	-
SM_V10_1	121056	123080	-
SM_V10_1	121909	125494	-
SM_V10_1	123306	125494	-
SM_V10_1	125779	131174	-
SM_V10_1	125779	131558	-
SM_V10_1	127513	129083	+
SM_V10_1	131247	131280	-
SM_V10_1	131250	131290	-
SM_V10_1	131250	241457	-
SM_V10_1	166204	167385	+
SM_V10_1	179239	179808	-
SM_V10_1	188835	400148	-
SM_V10_1	195849	197030	-
SM_V10_1	215983	221765	+
SM_V10_1	215983	247291	+
SM_V10_1	216253	216293	+
SM_V10_1	216263	216296	+
SM_V10_1	216369	221765	+
SM_V10_1	216369	247291	+
SM_V10_1	218460	220030	-
SM_V10_1	220096	230171	-
SM_V10_1	222050	224240	+
SM_V10_1	222050	225637	+
SM_V10_1	222050	248305	+
SM_V10_1	224466	226491	+
SM_V10_1	224466	226597	+
SM_V10_1	224466	250565	+
SM_V10_1	226107	250178	+
SM_V10_1	230139	230171	-
SM_V10_1	235136	235168	+
SM_V10_1	240307	240352	-
SM_V10_1	241414	241447	-
SM_V10_1	241417	241457	-
SM_V10_1	245676	247291	+
SM_V10_1	247576	248305	+
SM_V10_1	248531	250565	+
SM_V10_1	248531	250671	+
SM_V10_1	284472	284511	-
SM_V10_1	284577	284617	-
SM_V10_1	284740	285146	-
SM_V10_1	329268	334896	-
SM_V10_1	334863	334896	-
SM_V10_1	378280	378324	+
SM_V10_1	378381	378432	+
SM_V10_1	388545	392143	+
SM_V10_1	394310	400210	+
SM_V10_1	404493	405454	-
SM_V10_1	405503	471874	.
SM_V10_1	405604	406432	-
SM_V10_1	406511	407430	-
SM_V10_1	406511	408193	-
SM_V10_1	406529	407430	-
SM_V10_1	406691	407430	-
SM_V10_1	406691	408193	-
SM_V10_1	407498	408193	-
SM_V10_1	407498	408942	-
SM_V10_1	407498	409146	-
SM_V10_1	408259	409146	-
SM_V10_1	408367	409146	-
SM_V10_1	409198	409252	-
SM_V10_1	409198	410141	-
SM_V10_1	410199	410240	-
SM_V10_1	410237	410661	-
SM_V10_1	410241	410534	-
SM_V10_1	410605	410661	-
SM_V10_1	410752	410790	-
SM_V10_1	410936	411018	-
SM_V10_1	423121	512561	+
SM_V10_1	462954	463038	+
SM_V10_1	463178	463216	+
SM_V10_1	463307	463363	+
SM_V10_1	463434	463727	+
SM_V10_1	463728	463769	+
SM_V10_1	463827	464770	+
SM_V10_1	464716	464770	+
SM_V10_1	464822	465601	+
SM_V10_1	464822	465709	+
SM_V10_1	464822	468802	+
SM_V10_1	465026	468802	+
SM_V10_1	465775	468802	+
SM_V10_1	465775	469609	+
SM_V10_1	465775	469789	+
SM_V10_1	468870	469609	+
SM_V10_1	468870	469789	+
SM_V10_1	469868	470696	+
SM_V10_1	470846	471807	+
SM_V10_1	476091	481992	-
SM_V10_1	488727	488778	-
SM_V10_1	488835	488879	-
SM_V10_1	498151	498185	+
SM_V10_1	498602	498630	+
SM_V10_1	498602	516473	+
SM_V10_1	498768	498812	+
SM_V10_1	498768	516655	+
SM_V10_1	498869	498920	+
SM_V10_1	498869	516763	+
SM_V10_1	516445	516473	+
SM_V10_1	516611	516655	+
SM_V10_1	516712	516763	+
SM_V10_1	550150	550195	+
SM_V10_1	568691	569846	-
SM_V10_1	568691	572116	-
SM_V10_1	578712	578750	-
SM_V10_1	578821	578860	-
SM_V10_1	618026	618108	+
SM_V10_1	618254	618290	+
SM_V10_1	618384	618440	+
SM_V10_1	618511	618777	+
SM_V10_1	618877	619932	+
SM_V10_1	619984	620961	+
SM_V10_1	619984	621720	+
SM_V10_1	621027	621720	+
SM_V10_1	621589	709420	+
SM_V10_1	621788	621829	+
SM_V10_1	621788	623542	+
SM_V10_1	623621	624491	+
SM_V10_1	624641	625427	+
SM_V10_1	624641	625430	+
SM_V10_1	624641	625606	+
SM_V10_1	624641	713117	+
SM_V10_1	624641	713296	+
SM_V10_1	624641	766441	+
SM_V10_1	624641	766620	+
SM_V10_1	624641	1176917	+
SM_V10_1	625103	712820	-
SM_V10_1	625357	625398	+
SM_V10_1	625509	625606	+
SM_V10_1	650032	653008	+
SM_V10_1	660157	660527	+
SM_V10_1	660954	661769	+
SM_V10_1	699985	733119	-
SM_V10_1	705727	705809	+
SM_V10_1	705955	705991	+
SM_V10_1	706085	706141	+
SM_V10_1	706212	706489	+
SM_V10_1	706583	707633	+
SM_V10_1	707685	708662	+
SM_V10_1	707685	708822	+
SM_V10_1	707685	709145	+
SM_V10_1	708707	709420	+
SM_V10_1	708707	762744	+
SM_V10_1	708728	708768	+
SM_V10_1	708728	708822	+
SM_V10_1	708728	709420	+
SM_V10_1	708768	708822	+
SM_V10_1	708865	708901	+
SM_V10_1	708922	708959	+
SM_V10_1	709021	709057	+
SM_V10_1	709021	709145	+
SM_V10_1	709290	709420	+
SM_V10_1	709290	762744	+
SM_V10_1	709347	709383	+
SM_V10_1	709347	709386	+
SM_V10_1	709347	762707	+
SM_V10_1	709488	709563	+
SM_V10_1	709488	711263	+
SM_V10_1	709488	711272	+
SM_V10_1	709488	764587	+
SM_V10_1	711342	712199	+
SM_V10_1	711342	712222	+
SM_V10_1	711342	713117	+
SM_V10_1	711342	765523	+
SM_V10_1	712351	713296	+
SM_V10_1	712372	713117	+
SM_V10_1	712372	713120	+
SM_V10_1	712372	713296	+
SM_V10_1	712372	766444	+
SM_V10_1	712372	766620	+
SM_V10_1	713199	713296	+
SM_V10_1	713247	713296	+
SM_V10_1	751933	752890	-
