69906	150
83870	86018	2	0	0	2
83870	123079	2	0	0	2
86244	86974	2	0	2	2
87259	120680	2	0	0	2
120949	123079	2	0	0	2
123305	125493	2	0	2	2
125778	131173	2	0	0	2
216368	221764	1	0	0	1
216368	247290	1	0	0	1
222049	224239	1	2	0	1
222049	248304	1	2	0	1
224465	226596	1	0	0	1
247575	248304	1	2	0	1
248530	250670	1	0	0	1
284471	284510	2	1	0	2
284576	284616	2	2	1	2
284739	285145	2	0	0	2
404492	405453	2	0	2	2
405603	406431	2	0	0	2
406510	407429	2	0	0	2
407497	408192	2	0	0	2
408258	409145	2	0	2	2
409197	410140	2	0	0	2
410240	410533	2	3	1	2
410604	410660	2	0	0	2
410751	410789	2	0	0	2
410935	411017	2	0	2	2
462953	463037	0	0	0	1
463177	463215	1	0	0	1
463306	463362	1	0	0	1
463433	463726	1	1	3	1
463826	464769	1	0	0	1
464821	465708	1	2	0	1
465774	468801	1	0	0	1
468869	469788	1	0	0	1
469867	470695	1	0	0	1
470845	471806	1	2	0	1
618025	618107	1	2	0	1
618253	618289	1	0	0	1
618383	618439	1	0	1	1
618510	618776	1	1	0	1
618876	619931	1	0	0	1
619983	620960	1	2	0	1
621026	621719	1	0	0	1
621787	623541	1	2	2	1
623620	624490	1	2	0	1
624640	625429	1	2	0	1
625508	625605	1	5	0	1
705726	705808	1	2	0	1
705954	705990	1	0	0	1
706084	706140	1	0	1	1
706211	706488	1	2	0	1
706582	707632	1	0	0	1
707684	708661	1	2	0	1
708727	709419	1	0	0	1
709487	711262	1	2	0	1
711341	712221	1	2	0	1
712371	713116	1	2	0	1
713198	713295	1	5	0	1
1046848	1047744	2	0	2	2
1047796	1048800	2	0	0	2
1048900	1049193	2	3	1	2
1049264	1049320	2	0	0	2
1049411	1049449	2	0	0	2
1095817	1096965	0	0	0	2
1097061	1098023	0	1	0	2
1098077	1098656	2	0	0	2
1210575	1211221	2	2	4	2
1211277	1211317	2	0	2	2
1211435	1212771	2	0	2	2
1212838	1213670	2	0	0	2
1237814	1239469	1	1	0	1
1239812	1242772	1	1	2	1
1243087	1250630	1	0	1	1
1250674	1251669	1	0	0	1
1251789	1252596	1	3	1	1
1252683	1256179	1	0	0	1
1256353	1257829	1	1	0	1
1348434	1348516	1	2	0	1
1348662	1348698	1	0	0	1
1348792	1348848	1	0	2	1
1348919	1349191	1	0	0	1
1349291	1350345	1	0	0	1
1350397	1350875	1	2	0	1
1350941	1351633	1	0	0	1
1351701	1353474	1	2	0	1
1353556	1354269	1	2	0	1
1354419	1355374	1	2	0	1
1438076	1439840	2	0	2	2
1439921	1440797	2	2	0	2
1440927	1441044	2	0	0	2
1441147	1442625	2	0	1	2
1442710	1444871	2	1	2	2
1445022	1448742	2	0	0	2
1448958	1449796	2	0	1	2
1449967	1453463	2	0	0	2
1453550	1454357	2	1	3	2
1454477	1455465	2	0	0	2
1455509	1458000	2	1	0	2
1458315	1464621	2	2	1	2
1464964	1466626	2	0	1	2
1466700	1466731	2	1	0	2
1466834	1466864	2	0	0	2
1466980	1467013	2	0	0	2
1467097	1467136	2	1	2	2
1476533	1482182	1	1	0	1
1482443	1482475	1	2	0	1
1482572	1482608	1	0	2	1
1482733	1482765	1	1	2	1
1482812	1482844	0	0	2	1
1483023	1483052	1	2	0	1
1483302	1484139	1	0	0	1
1484206	1485543	1	0	0	1
1485661	1485701	1	2	0	1
1485757	1486403	1	4	2	1
1486479	1488289	1	4	2	1
1488481	1488524	1	2	1	1
1488601	1488638	1	3	2	1
1771255	1775966	2	0	0	2
1775999	1776388	2	0	0	2
1777030	1789765	2	0	1	2
1806180	1808988	1	0	0	1
1809102	1815139	1	0	0	1
1919495	1919577	0	0	2	1
1919725	1919761	1	0	0	1
1919855	1919911	1	0	0	1
1919982	1920253	1	0	0	1
1920353	1921402	1	0	0	1
1921454	1922436	1	1	0	1
1922502	1923195	1	0	0	1
1923263	1925003	1	2	0	1
1925085	1925964	1	2	0	1
1926114	1926889	1	2	0	1
1927019	1927068	1	1	0	1
2040484	2040537	1	0	0	1
2040669	2040708	1	0	0	1
2040791	2041444	1	0	0	1
2041534	2041639	1	1	1	1
2096723	2096805	1	2	0	1
2096951	2096986	1	0	0	1
2097077	2097133	1	0	0	1
2097204	2097590	1	1	2	1
2097672	2098725	1	0	0	1
2098777	2099609	1	1	0	1
2099675	2100367	1	0	0	1
2100435	2101146	1	2	1	1
2101225	2102473	1	0	0	1
2102623	2103401	1	2	0	1
2103501	2103691	1	2	0	1
2103791	2103981	1	2	0	1
2104081	2104271	1	2	0	1
2104371	2104562	1	2	0	1
2104692	2104741	1	1	0	1
2169886	2171991	2	0	0	2
2172280	2175387	2	0	0	2
2175531	2175570	2	3	0	2
2193917	2193949	1	2	1	1
2194070	2195577	1	0	2	1
2196172	2196463	1	0	0	1
2223824	2227267	1	2	0	1
2227582	2231035	1	0	0	1
2231129	2241728	1	2	0	1
2241860	2244765	1	0	2	1
